experiment,domain,vector_method,pair_label,condition,gate_pass_rate,cosine_deletion_rate,mean_b_anchor,mean_a_anchor,low_gate_warning
exp2,kinship,mean,arb→zho,A_source,0.122222,0.727273,0.363305,0.383549,low_gate
exp2,kinship,mean,arb→zho,B_target,0.122222,0.727273,0.363305,0.379455,low_gate
exp2,kinship,mean,arb→zho,C_english,0.122222,1.000000,0.363305,0.374456,low_gate
exp2,kinship,mean,arb→zho,D_random,0.122222,0.468182,0.363305,0.378230,low_gate
exp2,kinship,mean,arb→spa,A_source,0.000000,nan,0.197645,0.193568,low_gate
exp2,kinship,mean,arb→spa,B_target,0.000000,nan,0.197645,0.189984,low_gate
exp2,kinship,mean,arb→spa,C_english,0.000000,nan,0.197645,0.184704,low_gate
exp2,kinship,mean,arb→spa,D_random,0.000000,nan,0.197645,0.194700,low_gate
exp2,kinship,mean,zho→arb,A_source,0.000000,nan,0.236209,0.233282,low_gate
exp2,kinship,mean,zho→arb,B_target,0.000000,nan,0.236209,0.229857,low_gate
exp2,kinship,mean,zho→arb,C_english,0.000000,nan,0.236209,0.225427,low_gate
exp2,kinship,mean,zho→arb,D_random,0.000000,nan,0.236209,0.235111,low_gate
exp2,kinship,mean,zho→spa,A_source,0.000000,nan,0.201225,0.196662,low_gate
exp2,kinship,mean,zho→spa,B_target,0.000000,nan,0.201225,0.192912,low_gate
exp2,kinship,mean,zho→spa,C_english,0.000000,nan,0.201225,0.186080,low_gate
exp2,kinship,mean,zho→spa,D_random,0.000000,nan,0.201225,0.199408,low_gate
exp2,kinship,mean,spa→arb,A_source,0.000000,nan,0.240203,0.235504,low_gate
exp2,kinship,mean,spa→arb,B_target,0.000000,nan,0.240203,0.233927,low_gate
exp2,kinship,mean,spa→arb,C_english,0.000000,nan,0.240203,0.228034,low_gate
exp2,kinship,mean,spa→arb,D_random,0.000000,nan,0.240203,0.238330,low_gate
exp2,kinship,mean,spa→zho,A_source,0.077778,0.857143,0.392280,0.377910,low_gate
exp2,kinship,mean,spa→zho,B_target,0.077778,1.000000,0.392280,0.367234,low_gate
exp2,kinship,mean,spa→zho,C_english,0.077778,1.000000,0.392280,0.373727,low_gate
exp2,kinship,mean,spa→zho,D_random,0.077778,0.728571,0.392280,0.372549,low_gate
exp2,kinship,pca,arb→zho,A_source,0.122222,0.454545,0.363305,0.379736,low_gate
exp2,kinship,pca,arb→zho,B_target,0.122222,0.000000,0.363305,0.367991,low_gate
exp2,kinship,pca,arb→zho,C_english,0.122222,0.181818,0.363305,0.371470,low_gate
exp2,kinship,pca,arb→zho,D_random,0.122222,0.154545,0.363305,0.366369,low_gate
exp2,kinship,pca,arb→spa,A_source,0.000000,nan,0.197645,0.200192,low_gate
exp2,kinship,pca,arb→spa,B_target,0.000000,nan,0.197645,0.197037,low_gate
exp2,kinship,pca,arb→spa,C_english,0.000000,nan,0.197645,0.196604,low_gate
exp2,kinship,pca,arb→spa,D_random,0.000000,nan,0.197645,0.197387,low_gate
exp2,kinship,pca,zho→arb,A_source,0.000000,nan,0.236209,0.237319,low_gate
exp2,kinship,pca,zho→arb,B_target,0.000000,nan,0.236209,0.233048,low_gate
exp2,kinship,pca,zho→arb,C_english,0.000000,nan,0.236209,0.236397,low_gate
exp2,kinship,pca,zho→arb,D_random,0.000000,nan,0.236209,0.236808,low_gate
exp2,kinship,pca,zho→spa,A_source,0.000000,nan,0.201225,0.200103,low_gate
exp2,kinship,pca,zho→spa,B_target,0.000000,nan,0.201225,0.202481,low_gate
exp2,kinship,pca,zho→spa,C_english,0.000000,nan,0.201225,0.201442,low_gate
exp2,kinship,pca,zho→spa,D_random,0.000000,nan,0.201225,0.201508,low_gate
exp2,kinship,pca,spa→arb,A_source,0.000000,nan,0.240203,0.241226,low_gate
exp2,kinship,pca,spa→arb,B_target,0.000000,nan,0.240203,0.239149,low_gate
exp2,kinship,pca,spa→arb,C_english,0.000000,nan,0.240203,0.240019,low_gate
exp2,kinship,pca,spa→arb,D_random,0.000000,nan,0.240203,0.239892,low_gate
exp2,kinship,pca,spa→zho,A_source,0.077778,0.428571,0.392280,0.386858,low_gate
exp2,kinship,pca,spa→zho,B_target,0.077778,0.857143,0.392280,0.376108,low_gate
exp2,kinship,pca,spa→zho,C_english,0.077778,0.428571,0.392280,0.388605,low_gate
exp2,kinship,pca,spa→zho,D_random,0.077778,0.314286,0.392280,0.387867,low_gate
exp2,sacred,mean,arb→zho,A_source,0.000000,nan,0.340721,0.343416,low_gate
exp2,sacred,mean,arb→zho,B_target,0.000000,nan,0.340721,0.341763,low_gate
exp2,sacred,mean,arb→zho,C_english,0.000000,nan,0.340721,0.343867,low_gate
exp2,sacred,mean,arb→zho,D_random,0.000000,nan,0.340721,0.330336,low_gate
exp2,sacred,mean,arb→spa,A_source,0.000000,nan,0.234635,0.221629,low_gate
exp2,sacred,mean,arb→spa,B_target,0.000000,nan,0.234635,0.208581,low_gate
exp2,sacred,mean,arb→spa,C_english,0.000000,nan,0.234635,0.208240,low_gate
exp2,sacred,mean,arb→spa,D_random,0.000000,nan,0.234635,0.225046,low_gate
exp2,sacred,mean,zho→arb,A_source,0.000000,nan,0.368620,0.335424,low_gate
exp2,sacred,mean,zho→arb,B_target,0.000000,nan,0.368620,0.360756,low_gate
exp2,sacred,mean,zho→arb,C_english,0.000000,nan,0.368620,0.355385,low_gate
exp2,sacred,mean,zho→arb,D_random,0.000000,nan,0.368620,0.358136,low_gate
