domain,vector_method,output_lang,mean_off_diagonal_deletion,best_transfer_pair,best_transfer_rate,english_hub_score,english_hub_absolute_mean,non_english_absolute_mean,off_diagonal_ceiling_rate
kinship,mean,ara_Arab,0.7537037037037037,"['eng_Latn', 'spa_Latn']",0.9777777777777777,0.8542141229017598,0.6944444444444446,0.8129629629629629,1.0
kinship,pca,ara_Arab,0.7324074074074073,"['arb_Arab', 'spa_Latn']",0.9888888888888889,0.835266821241057,0.6666666666666666,0.7981481481481482,0.75
sacred,mean,ara_Arab,0.7652777777777778,"['zho_Hant', 'arb_Arab']",0.8888888888888888,0.9424206814315141,0.7425925925925926,0.787962962962963,1.0
sacred,pca,ara_Arab,0.7731481481481483,"['eng_Latn', 'zho_Hant']",0.8555555555555556,1.0072115383307947,0.775925925925926,0.7703703703703705,1.0
kinship,mean,eng_Latn,0.16574074074074074,"['zho_Hant', 'arb_Arab']",0.2666666666666667,0.4916666664454166,0.10925925925925926,0.22222222222222224,0.0
kinship,pca,eng_Latn,0.1722222222222222,"['eng_Latn', 'arb_Arab']",0.30000000000000004,0.5121951217263534,0.11666666666666665,0.22777777777777775,0.0
sacred,mean,eng_Latn,0.36018518518518516,"['eng_Latn', 'arb_Arab']",0.6,0.6839826838227919,0.29259259259259257,0.42777777777777776,0.25
sacred,pca,eng_Latn,0.28379629629629627,"['spa_Latn', 'arb_Arab']",0.40555555555555556,0.6840659338629694,0.23055555555555554,0.337037037037037,0.0
kinship,mean,spa_Latn,0.06944444444444445,"['spa_Latn', 'arb_Arab']",0.1777777777777778,0.4705882347958476,0.04444444444444443,0.09444444444444446,0.0
kinship,pca,spa_Latn,0.05370370370370369,"['eng_Latn', 'arb_Arab']",0.1444444444444445,0.526315788725762,0.037037037037037035,0.07037037037037035,0.0
sacred,mean,spa_Latn,0.3671296296296296,"['spa_Latn', 'arb_Arab']",0.5888888888888889,0.8105022829051729,0.3287037037037037,0.4055555555555556,0.25
sacred,pca,spa_Latn,0.32361111111111107,"['spa_Latn', 'arb_Arab']",0.43333333333333335,0.8062015501626105,0.2888888888888889,0.35833333333333334,0.0
kinship,mean,zho_Hant,0.3351851851851852,"['spa_Latn', 'arb_Arab']",0.4555555555555556,0.9255319146277727,0.32222222222222224,0.34814814814814815,0.0
kinship,pca,zho_Hant,0.31388888888888883,"['zho_Hant', 'arb_Arab']",0.4444444444444444,0.9044943817480746,0.29814814814814816,0.32962962962962966,0.0
sacred,mean,zho_Hant,0.2148148148148148,"['eng_Latn', 'spa_Latn']",0.37222222222222223,1.128440366413433,0.22777777777777777,0.20185185185185187,0.0
sacred,pca,zho_Hant,0.23472222222222228,"['zho_Hant', 'spa_Latn']",0.4222222222222223,0.7303754263519435,0.19814814814814816,0.2712962962962963,0.0
